symbol,tp_pips,sl_pips,trades,wr,exp_usd,pnl_usd,spread,rt_usd,tp_usd,pip_usd,bars
AUDHKD,1,30,3620,95.22,-0.0061,-22.21,0.0,0.0,0.0127,0.0127,14410
USDCAD,1,30,309,95.15,-0.0362,-11.19,1.999999999990898e-05,0.0143,0.0717,0.0717,14410
AUDDKK,1,20,3479,95.14,-0.0003,-1.08,0.0,0.0,0.0154,0.0154,14410
GBPCHF,2,30,184,95.11,0.0534,9.83,0.0,0.0,0.2458,0.1229,14410
GBPUSD,2,30,225,95.11,0.0436,9.8,9.999999999843467e-06,0.01,0.2,0.1,14410
CHFDKK,1,30,3407,95.01,-0.0084,-28.72,0.0,0.0,0.0154,0.0154,14410
GBPCAD,1,20,793,94.96,-0.0043,-3.37,0.0,0.0,0.0717,0.0717,14410
AUDNZD,2,40,119,94.96,-0.0069,-0.82,0.0,0.0,0.1172,0.0586,14410
AUDDKK,2,40,1406,94.95,-0.0019,-2.62,0.0,0.0,0.0308,0.0154,14410
EURUSD,1,20,376,94.95,-0.0061,-2.3,9.999999999843467e-06,0.01,0.1,0.1,14410
NZDDKK,1,30,2220,94.95,-0.0087,-19.3,0.0,0.0,0.0154,0.0154,14410
NZDUSD,1,20,355,94.93,-0.0065,-2.3,2.0000000000020002e-05,0.02,0.1,0.1,14410
XAGUSD,2,40,1972,94.93,-0.0065,-12.8,0.0,0.0,0.1,0.05,14410
XAGUSD,1,20,4010,94.84,-0.0042,-16.85,0.0,0.0,0.05,0.05,14410
HKDJPY,1,20,116,94.83,-0.0054,-0.63,0.0,0.0,0.0627,0.0627,14410
CADCHF,2,40,58,94.83,-0.0212,-1.23,0.0,0.0,0.2458,0.1229,14410
USDCAD,1,20,463,94.82,-0.0064,-2.94,1.999999999990898e-05,0.0143,0.0717,0.0717,14410
AUDCAD,1,20,501,94.81,-0.0064,-3.23,0.0,0.0,0.0717,0.0717,14410
EURCNH,1,30,3386,94.8,-0.0091,-30.69,0.0,0.0,0.0148,0.0148,14410
XAUEUR,2,40,5428,94.75,-0.0237,-128.4,0.0,0.0,0.2305,0.1153,14410
AUDUSD,1,20,285,94.74,-0.0105,-3.0,2.0000000000020002e-05,0.02,0.1,0.1,14410
GBPAUD,1,20,994,94.57,-0.0099,-9.89,0.0,0.0,0.0706,0.0706,14410
CHFJPY,1,30,1345,94.57,-0.0428,-57.59,0.0,0.0,0.0627,0.0627,14410
CHFDKK,2,40,2177,94.53,-0.0046,-9.93,0.0,0.0,0.0308,0.0154,14410
NZDUSD,1,30,218,94.5,-0.0706,-15.4,2.0000000000020002e-05,0.02,0.1,0.1,14410
DKKNOK,1,20,2810,94.38,-0.0019,-5.35,0.0,0.0,0.0105,0.0105,14410
DKKNOK,2,30,1457,94.37,0.0021,3.05,0.0,0.0,0.0211,0.0105,14410
AUDJPY,2,40,426,94.37,-0.023,-9.79,0.0,0.0,0.1255,0.0627,14410
CADCHF,1,20,212,94.34,-0.0232,-4.92,0.0,0.0,0.1229,0.1229,14410
AUDJPY,1,30,778,94.34,-0.0473,-36.76,0.0,0.0,0.0627,0.0627,14410
GBPNZD,2,40,617,94.33,-0.0224,-13.82,0.0,0.0,0.1172,0.0586,14410
USDJPY,1,30,1093,94.33,-0.0476,-52.01,0.0030000000000143245,0.0188,0.0627,0.0627,14410
AUDPLN,2,40,837,94.27,-0.0109,-9.15,0.0,0.0,0.0535,0.0268,14410
XAGEUR,1,20,3245,94.27,-0.0235,-76.18,0.0,0.0,0.1153,0.1153,14410
CHFSGD,2,40,379,94.2,-0.0342,-12.97,0.0,0.0,0.1562,0.0781,14410
XAUEUR,1,30,6375,94.2,-0.0921,-587.23,0.0,0.0,0.1153,0.1153,14410
CHFSGD,2,30,465,94.19,0.0111,5.15,0.0,0.0,0.1562,0.0781,14410
NZDSEK,1,30,3885,94.16,-0.0085,-32.87,0.0,0.0,0.0104,0.0104,14410
